feature,gain
paragraph_count,289496.6289048791
body_len,147809.33823683858
title_body_ratio,66203.33980694413
plad_ttr,65524.10532107949
avg_line_len,62057.51429629326
exclamation_count,47199.647084742785
hashtag_density,36777.946082443
title_len,31037.95346018672
plad_immediate_repetition,23408.321042120457
plad_phrasal_repetition,22108.67465186119
text_char_len,20719.23879942298
sentence_len_cv_naturalness,20257.468970179558
plad_avg_sentence_len,19455.568795889616
token_ttr_naturalness,19156.63172391057
plad_punctuation_ratio,18986.82178261876
line_len_cv,16381.291179269552
plad_sentence_burstiness,14810.653122931719
plad_word_freq_entropy,13348.19668969512
plad_word_burstiness,11148.010564923286
plad_number_ratio,10582.075839102268
plad_unique_emoji_ratio,10529.235693663359
personal_reader_ratio,10499.085513055325
plad_emoji_density,9645.49234995246
emoji_density_naturalness,7406.570442825556
plad_interactive_stance,7192.9752779603
low_info_phrase_count,7018.563137590885
sensory_density,6991.839058876038
sentence_count_naturalness,6811.023937344551
generic_praise_count,6688.073224633932
colon_line_ratio,4830.376471221447
line_count,4097.984903991222
personal_word_count,3707.9332352280617
tag_count,3597.5767193734646
plad_sentence_count,3531.1281989216805
title_has_number,3377.901392072439
emoji_count_naturalness,2585.3779756724834
body_cta_count,2565.2658127844334
reader_word_count,2552.1792627573013
sensory_word_count,2478.6806269288063
token_entropy_naturalness,2146.7925671339035
ai_transition_density,1984.9881871044636
duplicate_sentence_ratio,1982.7217341959476
question_count,1927.0336318612099
body_has_must_order,1835.6924196183681
list_marker_ratio,1075.2781304717064
title_has_pos_emotion,1070.3808147609234
body_has_hours,1060.1879664063454
list_marker_count,867.0650650560856
title_has_question,476.92944210767746
body_has_price,389.0321916639805
body_has_transport,334.36726117134094
title_has_city,232.70160028338432
ai_transition_count,204.17958998680115
body_has_address,180.71512895822525
tag_has_food_travel,99.43707627058029
tag_has_city,97.26500177383423
ai_disclaimer_count,60.72670567035675
body_has_booking,34.42154908180237
title_has_new_signal,23.947924971580505
title_has_price,13.698500156402588
title_has_neg_emotion,3.2731499671936035
