feature,gain
time_days_to_holiday,38250475.16143799
title_len,31539092.575637817
domain_encoded,27120040.294631958
plad_avg_sentence_len,25408757.916915894
plad_punctuation_ratio,24372795.400253296
body_len,24071337.365890503
plad_phrasal_repetition,23016212.441619873
plad_word_freq_entropy,21986865.18560791
plad_word_burstiness,21140202.69064331
plad_ttr,20666149.236587524
plad_number_ratio,20291444.531036377
plad_sentence_burstiness,18504682.50149536
time_hour,18238994.208770752
plad_emoji_density,13989698.284362793
tag_count,13658601.962661743
plad_immediate_repetition,10345788.200073242
plad_sentence_count,9881311.89541626
time_weekday,9051404.105316162
plad_unique_emoji_ratio,8512878.200271606
plad_interactive_stance,7710551.018203735
tag_has_food_travel,2090916.7264404297
body_has_must_order,1859703.5909729004
body_has_address,1670615.1697387695
title_has_number,1387984.2486572266
tag_has_city,1323106.876586914
body_cta_count,1144008.2213745117
title_has_city,1099255.1583251953
body_has_price,999745.0192871094
title_has_pos_emotion,983650.7329101562
body_has_hours,973794.8303222656
title_has_question,706682.9319152832
body_has_transport,608255.5720214844
time_is_weekend,436154.10205078125
body_has_booking,411290.41664123535
title_has_neg_emotion,255731.71151733398
title_has_new_signal,126828.17059326172
title_has_price,32938.91571044922
keyword_competition,0.0
category_avg_ces,0.0
category_saturation,0.0
content_freshness,0.0
cover_text_prominence,0.0
is_trending_topic,0.0
trend_momentum,0.0
keyword_search_vol,0.0
cover_visual_clarity,0.0
cover_emotion_intensity,0.0
cover_aesthetic_score,0.0
cover_composition_score,0.0
cover_warmth,0.0
cover_has_text,0.0
cover_face_count,0.0
cover_has_face,0.0
cover_aspect_ratio,0.0
cover_sharpness,0.0
cover_contrast,0.0
cover_saturation,0.0
cover_brightness,0.0
semantic_rhetorical_score,0.0
semantic_empathetic_engagement,0.0
semantic_emotional_intensity,0.0
trend_peak_distance,0.0
